sample_id,group,domain,target,NIR__908.1,NIR__914.294,NIR__920.489,NIR__926.683,NIR__932.877,NIR__939.072,NIR__945.266,NIR__951.46,NIR__957.655,NIR__963.849,NIR__970.044,NIR__976.238,NIR__982.432,NIR__988.627,NIR__994.821,NIR__1001.015,NIR__1007.21,NIR__1013.404,NIR__1019.598,NIR__1025.793,NIR__1031.987,NIR__1038.181,NIR__1044.376,NIR__1050.57,NIR__1056.764,NIR__1062.959,NIR__1069.153,NIR__1075.348,NIR__1081.542,NIR__1087.736,NIR__1093.931,NIR__1100.125,NIR__1106.319,NIR__1112.514,NIR__1118.708,NIR__1124.902,NIR__1131.097,NIR__1137.291,NIR__1143.485,NIR__1149.68,NIR__1155.874,NIR__1162.069,NIR__1168.263,NIR__1174.457,NIR__1180.652,NIR__1186.846,NIR__1193.04,NIR__1199.235,NIR__1205.429,NIR__1211.623,NIR__1217.818,NIR__1224.012,NIR__1230.206,NIR__1236.401,NIR__1242.595,NIR__1248.789,NIR__1254.984,NIR__1261.178,NIR__1267.373,NIR__1273.567,NIR__1279.761,NIR__1285.956,NIR__1292.15,NIR__1298.344,NIR__1304.539,NIR__1310.733,NIR__1316.927,NIR__1323.122,NIR__1329.316,NIR__1335.51,NIR__1341.705,NIR__1347.899,NIR__1354.094,NIR__1360.288,NIR__1366.482,NIR__1372.677,NIR__1378.871,NIR__1385.065,NIR__1391.26,NIR__1397.454,NIR__1403.648,NIR__1409.843,NIR__1416.037,NIR__1422.231,NIR__1428.426,NIR__1434.62,NIR__1440.814,NIR__1447.009,NIR__1453.203,NIR__1459.398,NIR__1465.592,NIR__1471.786,NIR__1477.981,NIR__1484.175,NIR__1490.369,NIR__1496.564,NIR__1502.758,NIR__1508.952,NIR__1515.147,NIR__1521.341,NIR__1527.535,NIR__1533.73,NIR__1539.924,NIR__1546.119,NIR__1552.313,NIR__1558.507,NIR__1564.702,NIR__1570.896,NIR__1577.09,NIR__1583.285,NIR__1589.479,NIR__1595.673,NIR__1601.868,NIR__1608.062,NIR__1614.256,NIR__1620.451,NIR__1626.645,NIR__1632.839,NIR__1639.034,NIR__1645.228,NIR__1651.423,NIR__1657.617,NIR__1663.811,NIR__1670.006,NIR__1676.2
X1_sample1,sample1,X1,40.15,0.2666716379310345,0.2649954,0.2628224551724138,0.2616575068965517,0.24965609655172413,0.23912171379310343,0.2338776,0.2277910793103448,0.22701119655172414,0.22391887931034482,0.22554219310344828,0.22522215172413795,0.22870988275862067,0.22876767931034483,0.22742115172413796,0.22930182068965516,0.23058685517241378,0.23322690689655173,0.2339896068965517,0.23004804137931034,0.2340289896551724,0.22954052758620688,0.2302071551724138,0.23004226551724138,0.22885964827586205,0.2306020103448276,0.22762401379310346,0.2295375206896552,0.2285553551724138,0.22947521724137931,0.22832467586206895,0.23127653103448276,0.22955206896551722,0.2341793,0.23748094827586205,0.2389372517241379,0.24445498965517243,0.2500879206896552,0.2470789275862069,0.2427350551724138,0.24569192068965517,0.2485129896551724,0.255039775862069,0.25822488620689654,0.2617238896551724,0.26459490344827585,0.26242057241379313,0.25840650344827587,0.25438061379310345,0.25429576551724137,0.2527766655172414,0.24893551034482758,0.24608664482758622,0.2452905,0.24465411379310345,0.2469690379310345,0.2474821724137931,0.24883087241379312,0.24921687931034484,0.2486925103448276,0.24930942758620692,0.24935471379310345,0.2492321655172414,0.24898822413793104,0.24931173448275862,0.25013937586206897,0.2505342137931034,0.2514965965517241,0.25242754482758617,0.2546630206896552,0.25899104137931034,0.26496257241379306,0.27160020344827585,0.27930627931034485,0.2850919413793104,0.2887017896551724,0.2906208034482759,0.2913530620689655,0.29159162413793105,0.29123738620689654,0.28961779310344826,0.28928677586206897,0.2903013931034483,0.2926915620689655,0.29707975517241375,0.3013265827586207,0.3068395620689655,0.3160965586206897,0.32874417931034483,0.3439416551724138,0.3620260551724138,0.3806380827586207,0.39838224137931033,0.4153989620689655,0.42961415862068963,0.4401227275862069,0.4464625586206897,0.4492231517241379,0.44961612758620695,0.4488407,0.44827055517241376,0.4490542655172414,0.4494848551724138,0.4524128827586207,0.45811927241379313,0.4673519586206897,0.47823281724137934,0.4864364517241379,0.4924779965517241,0.49540602413793106,0.4956187344827586,0.4948028,0.4906718551724138,0.4854636620689655,0.4801232310344828,0.47820503448275864,0.4767383275862069,0.47741562068965515,0.47590607586206896,0.4710785275862069,0.4621695275862069,0.4502262310344828,0.4320012724137931,0.4081806068965517,0.38000325172413796
X1_sample2,sample2,X1,39.93,0.2453350875,0.2486016875,0.25066041875,0.2528614875,0.244592375,0.236566425,0.23327253125,0.22816510625,0.22840839375,0.2260121,0.2289345625,0.2295933375,0.23384595,0.2339668625,0.23173755625,0.2325593,0.2326318875,0.23412794375,0.23405871875,0.2293175375,0.23315229375000002,0.2283120625,0.22907551250000002,0.2291083625,0.227997625,0.22999028125,0.22706354375,0.228979,0.2279271875,0.22876526249999998,0.22739355625,0.23031863125,0.228039025,0.23221635625,0.23522071875,0.23615756875,0.2405072,0.24534239375,0.242663575,0.23808969375,0.239744275,0.2406698625,0.24506903125,0.2465404,0.24882170625,0.25206741875,0.25277325625,0.2532436,0.2534717,0.2558513125,0.25644386875,0.2549616125,0.253041,0.25143714375,0.24868190625,0.24893115625,0.24729680625,0.24711256875,0.24665756875,0.24517115625,0.2451456375,0.2445898,0.24384549375,0.2430384125,0.24312016875,0.2436979375,0.2442512,0.2456317625,0.2468727875,0.24939187499999999,0.253918175,0.25974898750000003,0.26584791875,0.272921475,0.27804554375,0.28137625,0.2835958125,0.28535484375,0.28818683125,0.29268574375,0.29846525,0.3077300125,0.32034213125,0.3330763,0.3443190375,0.35195169375,0.35700264375,0.361555125,0.3657337375,0.36961300625,0.37452576875,0.3789475,0.38219241875,0.3845518375,0.38533268125,0.38564031875,0.3860469125,0.3867976625,0.3869801125,0.3865962,0.38625818125,0.38702263125,0.38702349375,0.38759911875,0.3886660375,0.39072995625,0.39257478125,0.39280164375,0.39284665625,0.392709625,0.39177969375,0.39138708125,0.38966078125000003,0.38771013125,0.3855791,0.38599543125,0.3867411625,0.39039541875,0.3916697125,0.389435525,0.38276380625,0.3729946,0.3569231375,0.33477734375,0.307310375
X1_sample3,sample3,X1,59.66,0.33971993125,0.3415078875,0.34187143125,0.34280531875,0.3316550625,0.3223387125,0.3180628,0.3110955,0.31126486875,0.3076842,0.31030713125000003,0.30992851875,0.3146336375,0.314418725,0.31210331874999997,0.31374866875,0.31430779375,0.31701035625,0.3175035875,0.3118728625,0.31718114375,0.3114066875,0.31277303125,0.31300915625,0.31169045625,0.314314875,0.31091938125,0.3138247375,0.3128992,0.314420875,0.31318730625,0.31746633750000003,0.31549355625000003,0.3218752375,0.3262762125,0.32790274375,0.33422419375,0.34033221875,0.335592875,0.328117225,0.3295533375,0.3305920625,0.3363335375,0.33781071875,0.33966225,0.341124125,0.33831333750000003,0.334442775,0.33088110625,0.33174961875,0.33103369375,0.32794204375,0.32557328125,0.32488803125,0.32379644375,0.32623016875,0.32613753125,0.32726145,0.327298075,0.32633393125,0.32729086875,0.32773861875,0.328002475,0.32793025,0.32837723125,0.32917195,0.329285225,0.33003205625,0.33035425,0.3319726375,0.33585994375,0.34110835,0.3463483125,0.35261304375,0.3572351875,0.36067729375,0.3630253125,0.36416829375,0.365118575,0.3651157125,0.36319925000000003,0.3622556375,0.3622462,0.36299135625,0.36550200625,0.36733125,0.3696923625,0.3751511875,0.38331014375,0.39327168125,0.4058867125,0.4189822375,0.431430775,0.443888775,0.4544776875,0.4631451,0.4697299125,0.4744357375,0.47720531250000003,0.47824775625,0.4789141,0.48081978125,0.4818614875,0.484928825,0.490253375,0.49853660625,0.50776506875,0.51397198125,0.51870015625,0.52142881875,0.52244474375,0.52354605,0.52260195,0.520933175,0.5189558937500001,0.5209361625,0.5229297875,0.52816270625,0.5301222125,0.52823196875,0.5207972249999999,0.509901575,0.4920991875,0.4682445625,0.43820024375
X1_sample4,sample4,X1,60.03,0.25493424,0.2567536066666667,0.25762320666666666,0.25900536,0.24924852,0.24014144666666667,0.23571951333333332,0.23020802,0.23015296666666665,0.22732859333333336,0.22982107999999998,0.23015036,0.23425552,0.23422742666666665,0.23207196666666666,0.23280488666666665,0.23289667333333333,0.23439579333333332,0.23427578666666668,0.22944589333333332,0.23351690666666666,0.22903507333333334,0.23009662,0.23042836,0.22953592666666667,0.23170520666666666,0.22887317333333332,0.23098042,0.23006623333333334,0.23117334000000003,0.23015954666666666,0.23374386666666666,0.23277434000000002,0.23904362666666668,0.24316718,0.24527772666666667,0.25211470666666663,0.25772552,0.25290687333333334,0.24560162666666668,0.24602688,0.24662230666666668,0.25102952,0.2520488866666667,0.25341832,0.25490683333333336,0.25380254,0.25314321333333334,0.25318041333333335,0.25558584666666667,0.25577718666666666,0.25367770666666667,0.2510689933333333,0.24925202000000002,0.24674373333333335,0.24754525333333335,0.24653857333333334,0.24691398,0.24666812666666665,0.24557654666666667,0.24616629333333334,0.24639936666666667,0.24657881333333334,0.2466711,0.24723912666666664,0.24810480000000001,0.24843990000000002,0.24934309999999998,0.2501008066666667,0.25207436666666666,0.25607631333333336,0.26147665999999997,0.26700994,0.27312763333333334,0.2776571,0.2812700733333333,0.2840203333333333,0.2860396333333333,0.28870236666666665,0.2919313333333333,0.2951978066666667,0.3009521733333333,0.30964694666666664,0.3185155866666667,0.32645461333333337,0.3314981466666667,0.3345356666666667,0.33746092,0.34035607333333334,0.34314674,0.3470824533333333,0.3507196066666667,0.3534800066666667,0.35601037333333335,0.35773254,0.3599163266666667,0.3631828133333333,0.36733546666666667,0.3709947066666667,0.37324666666666667,0.37485683999999997,0.37709712666666667,0.3783890133333333,0.3803820466666667,0.38324521333333333,0.38744404666666665,0.39123547333333336,0.39269173333333335,0.3936992866666667,0.39460258666666664,0.3953439733333333,0.39723354,0.39820538,0.3990065933333333,0.39934050666666665,0.40317783999999995,0.4074889933333333,0.4151200133333333,0.41920540666666667,0.41920440666666664,0.41351806,0.40485467999999997,0.38990860666666666,0.36858502000000004,0.34082142666666665
X1_sample5,sample5,X1,50.15,0.24245955581395348,0.24426306162790698,0.24534768488372094,0.24684881162790695,0.23785888372093023,0.22913830465116278,0.2253322965116279,0.22006235581395348,0.21978853720930233,0.21725139534883722,0.21932932325581395,0.21958798372093022,0.2233407476744186,0.2230911546511628,0.22116156976744183,0.22176771395348835,0.22182519186046512,0.22327344418604653,0.22317866627906977,0.21873171511627906,0.22248832906976743,0.21812612906976744,0.21903511627906977,0.2192145430232558,0.21828238255813953,0.22014103023255813,0.21732970116279068,0.21923062674418606,0.2182261906976744,0.21902556860465117,0.21795420465116278,0.22100313255813955,0.2198165895348837,0.22507042325581395,0.2286164965116279,0.23044949418604652,0.23651091395348836,0.24166891976744187,0.23749881511627907,0.23136638255813952,0.2320334534883721,0.23273612906976746,0.23683151627906976,0.23801580697674415,0.23964399883720933,0.2415478895348837,0.24098846860465115,0.24058516860465115,0.24053412906976746,0.24276473139534885,0.2435263476744186,0.24229636976744187,0.24054911976744187,0.23920701279069767,0.23708052674418606,0.2378860523255814,0.23705040697674418,0.23749966511627904,0.23742926395348837,0.23655985465116278,0.23702727558139536,0.23703308604651163,0.23694647558139537,0.23681963488372093,0.23720204069767445,0.23796482325581395,0.2384020372093023,0.23942106162790697,0.24029658255813954,0.2423631476744186,0.24639601279069767,0.2518699406976744,0.2576722,0.2641752302325581,0.2689182302325581,0.2722732604651163,0.27449397325581393,0.2760677802325581,0.27855376279069766,0.2824105360465116,0.2871410918604651,0.2949157023255814,0.30594176627906977,0.3173717232558139,0.32765683837209303,0.33467037093023255,0.3393176918604651,0.3435995069767442,0.3476836197674419,0.35155628139534884,0.3564023046511628,0.36094672906976744,0.36452203023255814,0.36746998720930235,0.3691564918604651,0.3708184418604651,0.37314111046511633,0.3759572046511628,0.3782371151162791,0.3795607034883721,0.3805994488372093,0.38239794418604656,0.3833847918604651,0.38511675813953494,0.3873827232558139,0.39084978837209305,0.3940252779069768,0.39498087558139533,0.3956228662790698,0.39607062209302324,0.39608261279069773,0.3970205395348837,0.39691637441860467,0.396489323255814,0.3958377488372093,0.3981068476744186,0.401171238372093,0.4074831244186047,0.4104520023255814,0.4096298593023256,0.40353853720930233,0.39505922790697673,0.3807074197674418,0.35990270348837206,0.33320975813953485
X1_sample6,sample6,X1,49.89,0.3023130789473684,0.3019588368421053,0.3007511210526316,0.3002553,0.28834295263157894,0.27812023684210524,0.2731394789473684,0.2664919736842105,0.26597132631578946,0.2625667736842105,0.2644266736842105,0.2638141789473684,0.2677647631578947,0.26751103684210525,0.26556656842105264,0.26715741052631575,0.2679140105263158,0.2704537052631579,0.27097744736842105,0.26621956315789475,0.27085434210526316,0.2657317631578947,0.26666625789473686,0.26675623157894734,0.2654678894736842,0.2675543210526316,0.2643613052631579,0.2667622263157895,0.26575833157894735,0.26689526842105266,0.2656264263157895,0.26927105263157897,0.2674336,0.2728531894736842,0.27667183157894737,0.2783094578947369,0.28436591052631577,0.29031284736842106,0.28621958421052635,0.2801157,0.28216544736842103,0.28399167894736843,0.29000813157894734,0.2922705315789474,0.29486852631578947,0.2968968157894737,0.29431835263157896,0.29031823157894737,0.2865514947368421,0.2868880105263158,0.28573423157894734,0.2822155157894737,0.27953166315789474,0.2787865947368421,0.27793236315789477,0.28035562105263157,0.28063423684210526,0.2819242,0.28215634736842105,0.28152062105263154,0.2823309526315789,0.28261636315789473,0.2826913947368421,0.28255999473684207,0.28293778421052634,0.2837052210526316,0.28388486315789474,0.28462417368421056,0.28518297368421053,0.28699617894736845,0.29097988947368425,0.29653925789473684,0.30251964210526316,0.30953091052631576,0.31482904736842104,0.31844615263157894,0.3206449842105263,0.3215926789473684,0.3221496105263158,0.3219332,0.3200416052631579,0.31939287368421054,0.3198853789473684,0.3215199578947368,0.3251031947368421,0.3282991210526316,0.3324942684210526,0.340300547368421,0.35138527894736843,0.36481650000000004,0.38116087368421053,0.3980897052631579,0.4142946631578947,0.4300678736842105,0.4433686263157895,0.4537208789473684,0.4607249526315789,0.46474222105263163,0.46642723684210524,0.4667355052631579,0.46683843684210524,0.4682811157894737,0.46913835789473685,0.4724096263157895,0.4782460315789474,0.48757907368421055,0.4983091631578947,0.505935252631579,0.5116753842105263,0.5147218684210526,0.5153550631578948,0.5156267421052632,0.5129233315789473,0.5092418736842105,0.5057046947368421,0.5056402105263157,0.505914652631579,0.5093730157894737,0.5100045210526316,0.5066101736842106,0.49838584210526315,0.48703404736842104,0.4690716315789474,0.4451507894736842,0.4157153789473684
X1_sample7,sample7,X1,39.66,0.27912698947368425,0.28070534210526316,0.28109075789473686,0.28238866315789474,0.2722243,0.26312565789473685,0.25901484736842106,0.2532987052631579,0.2531932684210526,0.2502413,0.2525750315789474,0.2525282263157895,0.2566682052631579,0.2564574789473684,0.25435397368421053,0.2554425052631579,0.2559565052631579,0.25798552105263156,0.25822064736842104,0.2533389157894737,0.2575724789473684,0.2524333631578947,0.2532231157894737,0.25327243684210526,0.25212228421052635,0.2541260052631579,0.2510384789473684,0.2532718263157895,0.2522399789473684,0.2531717631578947,0.25186474210526316,0.2550575263157895,0.2527787473684211,0.2572311105263158,0.26052917894736843,0.26150281578947365,0.26638996315789476,0.27165837368421053,0.26847223157894734,0.2634454842105263,0.26557250000000004,0.2670658052631579,0.27241293684210527,0.2744307052631579,0.2770785789473684,0.28001816315789474,0.2789813263157895,0.2770336789473684,0.2750317684210526,0.27630071052631583,0.27589277368421056,0.27335875789473685,0.27110785789473685,0.2699250105263158,0.2681516842105263,0.2695538157894737,0.2688754421052632,0.2694613894736842,0.2693856263157895,0.26827546315789474,0.2686400789473684,0.2684309631578947,0.26799584210526317,0.26741537894736844,0.2675849157894737,0.26820463684210527,0.2685742789473684,0.26965591052631577,0.27056294210526316,0.2727437789473684,0.27702721578947365,0.28280122105263156,0.28897379473684215,0.29620563684210527,0.3014963526315789,0.3049101157894737,0.3068902210526316,0.3080335210526316,0.30950981578947373,0.3114050263157895,0.3134630842105263,0.3179140631578948,0.3253885,0.3336631052631579,0.3419054631578947,0.34791418421052633,0.3529138263157895,0.3591948842105263,0.36685385789473685,0.3755710842105263,0.3864291631578947,0.39759112631578947,0.4079598263157895,0.4178703157894737,0.4256091526315789,0.43135079473684207,0.43511808421052633,0.43704184736842105,0.43738715789473687,0.4369097947368421,0.4364943052631579,0.43732484736842103,0.4375914210526316,0.4395973157894737,0.44322797894736843,0.44935357894736844,0.45643058947368426,0.4610396263157895,0.46453001578947367,0.46607458421052633,0.46576516315789473,0.46526180526315786,0.4622105789473684,0.45839794210526313,0.45459578947368423,0.45376887368421054,0.45321958421052627,0.45510963684210526,0.4549838842105263,0.4512476263157894,0.4432622631578948,0.4319801210526316,0.41417458947368424,0.39054934210526315,0.3620085052631579
X1_sample8,sample8,X1,59.3,0.251948,0.25197390000000003,0.25140354666666664,0.2515962666666667,0.24031517333333333,0.22998083333333333,0.22503750666666666,0.21884428,0.21824740666666667,0.21524562,0.21715434,0.21713364666666665,0.22087718,0.22082827333333332,0.21884515333333335,0.21972068666666666,0.22020870666666667,0.2220718,0.22215565333333334,0.21753102666666668,0.22174018666666667,0.21714233333333333,0.21820790666666667,0.21839165333333332,0.21747150666666668,0.21955057333333333,0.21665495333333334,0.21881542666666667,0.21789280666666666,0.21902897333333332,0.21807451333333333,0.2216602066666667,0.22072909999999998,0.22716472666666665,0.23143997333333333,0.23375686,0.24123726,0.24721368000000002,0.2419083,0.23423485333333333,0.23477052666666667,0.23577107333333333,0.24069817999999998,0.24223748666666667,0.243781,0.24454142,0.24210979333333332,0.23922791333333335,0.23705927333333332,0.23840828666666666,0.23832375333333333,0.23635277999999998,0.23430394000000002,0.23328188666666666,0.2319346466666667,0.23370156,0.23366852666666665,0.23476631333333334,0.23492807333333332,0.2343104666666667,0.23518333333333336,0.23578472,0.23629922666666667,0.23669536000000002,0.23754044000000002,0.23858714,0.23899317333333334,0.23987625333333332,0.24061224666666667,0.24261776666666668,0.24672620666666667,0.25240896,0.2583819933333333,0.2649949933333333,0.2700234066666667,0.27392917333333333,0.27658009333333333,0.27811418,0.27984570000000003,0.2816194,0.2827810333333333,0.28537887333333334,0.2905495066666667,0.29659382,0.3029224266666667,0.3072509533333333,0.31064942,0.31526824,0.3213199066666667,0.32847276666666664,0.33775478,0.34744700666666667,0.35657980666666667,0.36568283333333335,0.3734894133333333,0.38044451333333335,0.38664122666666667,0.39198521999999997,0.39595591333333335,0.39830523333333334,0.40001339333333336,0.4024338933333333,0.4041323866666667,0.4074038266666667,0.41245541333333335,0.42002688666666665,0.42800531333333336,0.43298492666666666,0.43667981333333333,0.43913591333333335,0.4404717733333333,0.44207290000000005,0.44217714666666663,0.44172878666666665,0.4408797266666667,0.4438750666666667,0.4475845333333333,0.45481227333333335,0.4582439466666666,0.4574606133333334,0.4507969,0.44173548,0.42630244,0.40392397333333335,0.3749145466666667
X1_sample9,sample9,X1,49.910000000000004,0.22956179285714287,0.22976415714285717,0.2288989,0.2290043,0.2177919642857143,0.20727425,0.2020095142857143,0.19593456428571426,0.19548977142857143,0.19242005714285715,0.19441456428571427,0.19441187857142858,0.19819711428571427,0.19821435714285715,0.19636717142857144,0.19749349285714285,0.19807335,0.1998054214285714,0.19996594285714284,0.1954570142857143,0.1993447642857143,0.19477257142857143,0.1956546285714286,0.1957262214285714,0.1947763642857143,0.19672992142857143,0.19378444285714286,0.19591124999999998,0.19493722142857142,0.19588155,0.19477568571428572,0.1981013857142857,0.1968855642857143,0.20263253571428572,0.2064188,0.20839890714285714,0.21515927142857144,0.22088867142857144,0.21623635,0.20953919285714287,0.2107081857142857,0.21216053571428573,0.21744662142857143,0.21944635714285715,0.22169646428571427,0.22341362857142857,0.22159485714285715,0.21908394285714286,0.21701281428571426,0.21825510714285715,0.21800681428571428,0.21569275714285713,0.2133269857142857,0.21201177142857142,0.21037925714285713,0.21182971428571426,0.21145010714285714,0.21219052142857145,0.21211492857142858,0.21109771428571428,0.21152759285714287,0.21152144285714286,0.21141610714285713,0.21124990714285713,0.21166307857142858,0.21242889999999998,0.21273673571428572,0.21359568571428572,0.2144961,0.21672954285714288,0.22106598571428573,0.22705453571428572,0.23352482142857142,0.24074833571428572,0.24618779285714285,0.2500705857142857,0.25253520714285715,0.2540018714285714,0.25576382142857146,0.2578092285714286,0.25969578571428575,0.26349159285714285,0.26995257857142857,0.27726695,0.2846610428571429,0.2899911642857143,0.29439395,0.30003965,0.30711284285714285,0.31532025714285716,0.32559941428571426,0.33622715000000003,0.3461357,0.3557226142857143,0.36354793571428573,0.36987870714285714,0.37477772857142855,0.3783342642857143,0.3804736928571429,0.3813131214285714,0.38182884999999994,0.38343016428571425,0.3843762714285714,0.38688644285714285,0.3912169071428572,0.39807884285714285,0.4055678214285714,0.41035400714285714,0.41386489285714284,0.4157828214285714,0.4162722357142857,0.41679710000000003,0.41529134285714286,0.4131150571428571,0.4109797357142857,0.41202605000000003,0.41379915,0.41880626428571427,0.4207072,0.4185543,0.4112883785714286,0.40094442142857145,0.3842317142857143,0.36113572857142856,0.3319698
X2_sample1,sample1,X2,40.15,0.22300078582089553,0.23473259925373133,0.242392823880597,0.2505813671641791,0.24128626268656717,0.23249859850746268,0.2289180895522388,0.21750022835820895,0.21949429179104477,0.21348287313432837,0.21833490149253731,0.21762484253731343,0.22619622985074628,0.22585045223880598,0.22128836492537315,0.2246028343283582,0.22597170298507463,0.2319743052238806,0.2332054149253731,0.22298643358208955,0.23347057985074626,0.2226493895522388,0.22493960447761194,0.2251449156716418,0.22272992910447761,0.22754544925373132,0.22149334402985077,0.2271281052238806,0.2257617276119403,0.22890807388059703,0.2262068865671642,0.233620976119403,0.22646496940298508,0.23327854104477613,0.2386953537313433,0.2377459343283582,0.24121072537313434,0.24902893880597013,0.24550669179104476,0.23715617313432835,0.24171348955223879,0.24241266417910448,0.2513482410447761,0.2528555059701492,0.2561155156716418,0.261705023880597,0.25991729925373136,0.2561535089552239,0.2512894947761194,0.25374160447761196,0.2532483395522388,0.2488838194029851,0.24697482985074626,0.24761899626865672,0.24623037014925375,0.2506784656716418,0.24957349701492534,0.251036373880597,0.25107176492537314,0.24907789402985073,0.2502640089552239,0.25007977014925376,0.24904423656716418,0.24683808432835821,0.24608575746268654,0.24617537686567167,0.2457555485074627,0.24673781492537314,0.2463992052238806,0.2482075395522388,0.253301795522388,0.25982659029850746,0.2656575052238806,0.27421837238805974,0.28018933283582087,0.28394832014925375,0.2866875104477612,0.28838341268656714,0.2901433649253731,0.29050053358208955,0.2886952850746269,0.28872438283582086,0.29126835298507464,0.29464845522388056,0.30031422761194027,0.3048857626865672,0.31023487835820895,0.3201656529850746,0.3335917783582089,0.34881035074626865,0.3676785186567164,0.38661729402985073,0.4040572425373134,0.4212541626865672,0.43431523656716414,0.4437762470149254,0.44985392537313434,0.45261539552238805,0.45267353731343285,0.45031165895522385,0.44871016492537313,0.4496932679104478,0.4488819,0.45111906791044776,0.4560929828358209,0.4651584813432836,0.4760742783582089,0.48269175149253735,0.48812855671641786,0.49032767164179103,0.4888191417910448,0.48814098208955226,0.48321000149253734,0.47732375597014925,0.4710035097014925,0.4704534917910448,0.4675990320895522,0.4681584104477612,0.4652913388059702,0.46048007686567166,0.44916044552238804,0.4335916895522388,0.4079721134328358,0.3741869029850746,0.33022953880597017
